iter	RMSE
0	58.2899401
1	56.16017001
2	54.5633516
3	53.0632179
4	51.91194241
5	50.85871142
6	49.74847486
7	48.9147239
8	48.10631195
9	47.37499778
10	46.86456374
11	46.30190346
12	45.79744853
13	45.33002242
14	44.90529836
15	44.47606533
16	44.19449677
17	43.91431709
18	43.65665475
19	43.44453903
20	43.22311441
21	43.1002635
22	42.92987827
23	42.75382363
24	42.56362799
25	42.3958584
26	42.2548388
27	42.12695362
28	42.00859156
29	41.86809155
30	41.76048482
31	41.64800284
32	41.5232474
33	41.41903566
34	41.30924765
35	41.22218091
36	41.16394761
37	41.07053135
38	41.00204334
39	40.91469914
40	40.84867067
41	40.7875467
42	40.71604856
43	40.66072328
44	40.5910931
45	40.52889617
46	40.47532189
47	40.44331197
48	40.39386167
49	40.33514758
50	40.3085499
51	40.26751831
52	40.23836752
53	40.20248738
54	40.16777302
55	40.144326
56	40.10258242
57	40.05163817
58	39.98661995
59	39.95222169
60	39.90881542
61	39.83755704
62	39.79635199
63	39.76116005
64	39.69791606
65	39.6634247
66	39.64325016
67	39.61173043
68	39.57050023
69	39.54107108
70	39.49685861
71	39.46638117
72	39.43465438
73	39.42039318
74	39.37322395
75	39.35433011
76	39.33077303
77	39.28366297
78	39.26235598
79	39.19721624
80	39.16797876
81	39.12235862
82	39.08021068
83	39.04274008
84	39.01351783
85	38.97946287
86	38.93814904
87	38.89269246
88	38.84905949
89	38.81798526
90	38.81230043
91	38.77244325
92	38.7409825
93	38.73615431
94	38.71590339
95	38.69383511
96	38.65100306
97	38.63226178
98	38.61451472
99	38.59258449
