iter	Passed	Remaining
0	134	13352
1	137	6722
2	139	4515
3	141	3407
4	144	2743
5	150	2361
6	153	2034
7	155	1787
8	157	1596
9	160	1442
10	167	1354
11	169	1246
12	172	1154
13	174	1072
14	177	1003
15	181	953
16	183	897
17	186	849
18	188	805
19	191	764
20	193	728
21	197	698
22	199	666
23	201	638
24	203	611
25	206	586
26	211	573
27	214	551
28	216	531
29	219	511
30	221	493
31	224	476
32	229	465
33	231	449
34	234	434
35	236	420
36	238	406
37	242	395
38	244	382
39	247	370
40	249	358
41	251	347
42	253	336
43	256	326
44	260	317
45	262	308
46	264	298
47	267	289
48	269	280
49	272	272
50	275	264
51	277	256
52	279	248
53	282	240
54	284	232
55	286	225
56	291	219
57	293	212
58	297	206
59	301	201
60	306	196
61	309	189
62	312	183
63	315	177
64	320	172
65	323	166
66	326	160
67	329	154
68	331	148
69	340	146
70	343	140
71	345	134
72	347	128
73	349	122
74	353	117
75	356	112
76	358	107
77	361	101
78	363	96
79	365	91
80	370	86
81	373	81
82	375	76
83	377	71
84	379	67
85	382	62
86	386	57
87	389	53
88	391	48
89	393	43
90	395	39
91	397	34
92	402	30
93	404	25
94	406	21
95	408	17
96	411	12
97	413	8
98	416	4
99	418	0
